interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2024-02-18 18:25:00+00:00,2024-02-18 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.77,23.6,-0.0,2.17
2024-02-18 20:40:00+00:00,2024-02-18 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.2,20.37,-0.0,1.83
2024-02-18 22:55:00+00:00,2024-02-18 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,30.39,28.21,-0.22,2.4
2024-02-19 01:10:00+00:00,2024-02-19 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,37.03,34.19,-0.0,2.84
2024-02-19 03:25:00+00:00,2024-02-19 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.18,21.5,-0.0,1.68
2024-02-19 04:55:00+00:00,2024-02-19 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.98,20.26,-0.0,1.72
2024-02-19 07:10:00+00:00,2024-02-19 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.4,20.99,-0.0,1.41
2024-02-19 09:25:00+00:00,2024-02-19 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.66,22.26,-0.0,1.4
2024-02-19 11:40:00+00:00,2024-02-19 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,32.52,30.25,-0.0,2.27
2024-02-19 13:55:00+00:00,2024-02-19 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,38.45,35.64,-0.0,2.81
2024-02-19 16:10:00+00:00,2024-02-19 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,26.15,24.39,-0.0,1.76
2024-02-19 18:25:00+00:00,2024-02-19 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,29.96,28.37,-0.0,1.59
2024-02-19 20:40:00+00:00,2024-02-19 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.72,23.84,-0.0,1.88
2024-02-19 22:55:00+00:00,2024-02-19 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,29.08,27.18,-0.16,2.06
2024-02-20 01:10:00+00:00,2024-02-20 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,37.62,35.13,-0.0,2.49
2024-02-20 03:25:00+00:00,2024-02-20 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,37.74,35.81,-0.0,1.93
2024-02-20 04:55:00+00:00,2024-02-20 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,32.16,30.54,-0.0,1.62
2024-02-20 07:25:00+00:00,2024-02-20 07:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,33.62,31.87,-0.0,1.75
2024-02-20 09:40:00+00:00,2024-02-20 09:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,33.95,32.09,-0.0,1.86
2024-02-20 11:55:00+00:00,2024-02-20 12:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,24.7,22.92,0.01,1.77
2024-02-20 14:10:00+00:00,2024-02-20 14:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,37.68,34.53,0.01,3.14
2024-02-20 16:25:00+00:00,2024-02-20 16:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,31.45,29.14,0.01,2.3
2024-02-20 18:40:00+00:00,2024-02-20 18:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.39,19.94,-0.0,1.45
2024-02-20 20:55:00+00:00,2024-02-20 21:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.37,23.46,-0.04,1.95
2024-02-20 23:10:00+00:00,2024-02-20 23:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,37.63,35.04,-0.0,2.59
2024-02-21 01:25:00+00:00,2024-02-21 01:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,37.62,34.9,-0.0,2.72
2024-02-21 03:40:00+00:00,2024-02-21 03:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,39.48,36.8,-0.0,2.68
2024-02-21 04:55:00+00:00,2024-02-21 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,32.64,30.65,-0.0,1.99
2024-02-21 07:10:00+00:00,2024-02-21 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.91,22.47,-0.0,1.44
2024-02-21 09:25:00+00:00,2024-02-21 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.96,22.6,-0.0,1.36
2024-02-21 11:40:00+00:00,2024-02-21 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,32.56,29.86,0.01,2.69
2024-02-21 13:55:00+00:00,2024-02-21 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,52.67,38.18,10.82,3.67
2024-02-21 16:10:00+00:00,2024-02-21 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,26.22,24.29,-0.06,1.99
2024-02-21 18:25:00+00:00,2024-02-21 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,27.32,25.31,0.01,2.0
2024-02-21 20:40:00+00:00,2024-02-21 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,28.43,26.4,-0.0,2.03
2024-02-21 22:55:00+00:00,2024-02-21 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.76,21.82,-0.0,1.94
2024-02-22 01:10:00+00:00,2024-02-22 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,52.48,23.51,26.85,2.12
2024-02-22 03:25:00+00:00,2024-02-22 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,33.95,22.99,9.24,1.72
2024-02-22 04:55:00+00:00,2024-02-22 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,20.5,19.3,-0.0,1.2
2024-02-22 07:25:00+00:00,2024-02-22 07:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,20.87,19.8,-0.0,1.07
2024-02-22 09:40:00+00:00,2024-02-22 09:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,20.76,19.55,-0.0,1.21
2024-02-22 11:55:00+00:00,2024-02-22 12:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,32.25,29.53,-0.0,2.72
2024-02-22 14:10:00+00:00,2024-02-22 14:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,29.85,27.43,0.01,2.41
2024-02-22 16:25:00+00:00,2024-02-22 16:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,33.35,30.93,0.01,2.41
2024-02-22 18:40:00+00:00,2024-02-22 18:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,30.64,28.56,-0.0,2.08
2024-02-22 20:55:00+00:00,2024-02-22 21:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,26.92,24.72,-0.0,2.2
2024-02-22 23:10:00+00:00,2024-02-22 23:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,35.09,32.31,-0.0,2.78
2024-02-23 01:25:00+00:00,2024-02-23 01:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,35.59,33.01,-0.0,2.58
2024-02-23 03:40:00+00:00,2024-02-23 03:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.9,22.48,-0.0,1.42
2024-02-23 04:55:00+00:00,2024-02-23 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.72,21.41,-0.0,1.31
2024-02-23 07:10:00+00:00,2024-02-23 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.74,21.93,-0.0,0.81
2024-02-23 09:25:00+00:00,2024-02-23 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.44,20.56,-0.0,0.88
2024-02-23 11:40:00+00:00,2024-02-23 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.3,23.5,0.01,1.79
2024-02-23 13:55:00+00:00,2024-02-23 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.56,21.56,-0.0,2.0
2024-02-23 16:10:00+00:00,2024-02-23 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.25,20.43,-0.0,1.82
2024-02-23 18:25:00+00:00,2024-02-23 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,20.39,18.79,-0.0,1.6
2024-02-23 20:40:00+00:00,2024-02-23 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.76,20.04,-0.0,1.72
2024-02-23 22:55:00+00:00,2024-02-23 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,30.56,27.96,-0.0,2.6
2024-02-24 01:10:00+00:00,2024-02-24 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,26.12,23.77,-0.0,2.35
2024-02-24 03:25:00+00:00,2024-02-24 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.07,19.53,-0.0,1.54
2024-02-24 04:55:00+00:00,2024-02-24 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.32,21.18,-0.0,1.14
2024-02-24 07:10:00+00:00,2024-02-24 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.73,21.92,-0.0,0.81
2024-02-24 09:25:00+00:00,2024-02-24 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.71,22.01,-0.0,0.7
2024-02-24 11:40:00+00:00,2024-02-24 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,24.86,23.79,-0.0,1.07
2024-02-24 13:55:00+00:00,2024-02-24 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.52,21.03,-0.0,1.49
2024-02-24 16:10:00+00:00,2024-02-24 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.58,23.66,-0.0,1.92
2024-02-24 18:25:00+00:00,2024-02-24 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,24.25,22.92,-0.0,1.33
2024-02-24 20:40:00+00:00,2024-02-24 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,24.22,22.74,-0.0,1.48
2024-02-24 22:55:00+00:00,2024-02-24 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,31.33,29.44,-0.0,1.89
2024-02-25 01:10:00+00:00,2024-02-25 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.6,20.06,-0.0,1.54
2024-02-25 03:25:00+00:00,2024-02-25 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,26.89,25.01,-0.0,1.88
2024-02-25 04:55:00+00:00,2024-02-25 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,33.85,32.21,-0.0,1.64
2024-02-25 07:10:00+00:00,2024-02-25 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,24.21,23.1,-0.0,1.11
2024-02-25 09:25:00+00:00,2024-02-25 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.31,24.06,-0.0,1.25
2024-02-25 11:40:00+00:00,2024-02-25 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,28.75,27.2,-0.0,1.55
2024-02-25 13:55:00+00:00,2024-02-25 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.57,24.58,-0.61,1.6
2024-02-25 16:10:00+00:00,2024-02-25 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.28,19.83,-0.0,1.45
2024-02-25 18:25:00+00:00,2024-02-25 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,19.75,18.51,-0.0,1.24
2024-02-25 20:40:00+00:00,2024-02-25 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,24.79,23.26,-0.0,1.53
2024-02-25 22:55:00+00:00,2024-02-25 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,30.74,28.7,-0.0,2.04
2024-02-26 01:10:00+00:00,2024-02-26 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,31.47,29.22,-0.0,2.25
2024-02-26 03:25:00+00:00,2024-02-26 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,29.55,27.54,-0.0,2.01
2024-02-26 04:55:00+00:00,2024-02-26 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,29.24,27.51,-0.0,1.73
2024-02-26 07:10:00+00:00,2024-02-26 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,27.21,25.82,-0.0,1.39
2024-02-26 09:25:00+00:00,2024-02-26 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.38,22.22,-0.0,1.16
2024-02-26 11:40:00+00:00,2024-02-26 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,49.67,46.98,0.01,2.68
2024-02-26 13:55:00+00:00,2024-02-26 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,28.62,25.94,0.01,2.67
2024-02-26 16:10:00+00:00,2024-02-26 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,27.15,24.68,-0.0,2.47
2024-02-26 18:25:00+00:00,2024-02-26 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.36,20.62,0.01,1.73
2024-02-26 20:40:00+00:00,2024-02-26 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.28,19.65,-0.0,1.63
2024-02-26 22:55:00+00:00,2024-02-26 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.26,23.22,-0.0,2.04
2024-02-27 01:10:00+00:00,2024-02-27 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,36.93,34.16,-0.0,2.77
2024-02-27 03:25:00+00:00,2024-02-27 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,30.93,28.96,-0.0,1.97
2024-02-27 04:55:00+00:00,2024-02-27 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,19.42,18.37,-0.0,1.05
2024-02-27 07:10:00+00:00,2024-02-27 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,16.64,15.65,-0.0,0.99
2024-02-27 09:25:00+00:00,2024-02-27 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,17.21,16.31,-0.0,0.9
2024-02-27 11:40:00+00:00,2024-02-27 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,27.79,26.24,-0.0,1.55
2024-02-27 13:55:00+00:00,2024-02-27 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.21,15.25,4.46,1.5
2024-02-27 16:10:00+00:00,2024-02-27 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,19.49,17.95,-0.0,1.54
2024-02-27 18:25:00+00:00,2024-02-27 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,14.87,13.68,0.01,1.18
2024-02-27 20:40:00+00:00,2024-02-27 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,17.76,16.37,-0.0,1.39
2024-02-27 22:55:00+00:00,2024-02-27 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,20.87,19.15,-0.0,1.72
2024-02-28 01:10:00+00:00,2024-02-28 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.16,21.39,-0.0,1.77
2024-02-28 03:25:00+00:00,2024-02-28 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,19.56,18.3,-0.0,1.26
2024-02-28 04:55:00+00:00,2024-02-28 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,17.36,16.06,-0.0,1.3
2024-02-28 07:10:00+00:00,2024-02-28 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,11.59,10.72,-0.0,0.87
2024-02-28 09:25:00+00:00,2024-02-28 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,10.02,3.23,6.52,0.27
2024-02-28 11:40:00+00:00,2024-02-28 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,20.28,12.17,7.08,1.03
2024-02-28 13:55:00+00:00,2024-02-28 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.64,1.35,24.16,0.13
2024-02-28 16:10:00+00:00,2024-02-28 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,27.16,24.73,-0.0,2.43
2024-02-28 18:25:00+00:00,2024-02-28 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,27.19,18.06,7.34,1.79
2024-02-28 20:40:00+00:00,2024-02-28 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,30.96,28.38,-0.0,2.58
2024-02-28 22:55:00+00:00,2024-02-28 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,32.45,29.88,-0.0,2.57
2024-02-29 01:10:00+00:00,2024-02-29 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,32.51,29.74,-0.0,2.77
2024-02-29 03:25:00+00:00,2024-02-29 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,20.65,19.17,-0.0,1.48
2024-02-29 04:55:00+00:00,2024-02-29 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,20.88,19.5,-0.0,1.38
2024-02-29 07:10:00+00:00,2024-02-29 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,16.88,15.7,-0.0,1.18
2024-02-29 09:25:00+00:00,2024-02-29 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,20.38,19.12,-0.0,1.26
2024-02-29 11:40:00+00:00,2024-02-29 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,31.38,29.03,-0.0,2.35
